Name,Season,Hometown,#TimesPlayed,TwitterHandle,SeasonAge,Rank,Sex,ChallengeWins,VotesAgainst,DaysLasted,IdolsFound,IdolsPlayed,VotesVoided,BootAvoided,,,,,,,,,,,
Crystal Cox,Gabon,"Durham, NC",1,0,29,6,F,2,11,36,0,0,0,0,,,,,,,,,,,
Dan Barry,Panama,"South Hadley, MA",1,1,51,11,M,6,3,15,0,0,0,0,,,,,,,,,,,
Dan Kay,Gabon,"Boston, MA",1,0,32,11,M,8,4,21,0,0,0,0,,,,,,,,,,,
Danielle DiLorenzo,Panama,"Pompano Beach,FL",1,1,24,2,F,8,4,39,0,0,0,0,,,,,,,,,,,
Danielle DiLorenzo,Heroes vs. Villains,"Pompano Beach,FL",2,1,28,7,F,10,4,33,0,0,0,0,,,,,,,,,,,
Danni Boatwright,Guatemala,"Tonganoxie, KS",1,0,30,1,F,11,1,39,0,0,0,0,,,,,,,,,,,
"Danny ""GC"" Brown",Gabon,"Portland, OR",1,0,25,14,M,3,6,15,0,0,0,0,,,,,,,,,,,
Dave Ball,Samoa,"Los Angeles, CA",1,1,38,8,M,10,8,31,0,0,0,0,,,,,,,,,,,
Dave Cruser,China,"Simi Valley, CA",1,0,37,13,M,2,6,12,0,0,0,0,,,,,,,,,,,
"Debra ""Debbie"" Beebe",Tocantins,"Auburn, AL",1,0,46,6,F,8,6,33,0,0,0,0,,,,,,,,,,,
Denise Martin,China,"Douglas, MA",1,0,40,4,F,9,3,38,0,0,0,0,,,,,,,,,,,
Earl Cole,Fiji,"Santa Monica, CA",1,1,35,1,M,6,1,39,1,1,0,0,,,,,,,,,,,
Edgardo Rivera,Fiji,"Miami Beach, FL",1,0,28,9,M,10,5,27,0,0,0,0,,,,,,,,,,,
Eliza Orlins,Micronesia,"Syracuse, NY",2,1,25,10,F,10,8,24,0,0,0,0,,,,,,,,,,,
"Elizabeth ""Liz"" Kim",Samoa,"New York, NY",1,0,33,13,F,2,5,18,0,0,0,0,,,,,,,,,,,
Erica Durosseau,Fiji,"Lake Charles, LA",1,0,27,18,F,0,6,6,0,0,0,0,,,,,,,,,,,
Erik Cardona,Samoa,"Ontario, CA",1,0,28,12,M,8,10,21,1,0,0,0,,,,,,,,,,,
Erik Huffman,China,"Nashville, TN",1,1,26,6,M,5,5,33,0,0,0,0,,,,,,,,,,,
Erik Reichenbach,Micronesia,"Pinckney, MI",1,1,22,5,M,8,7,36,0,0,0,0,,,,,,,,,,,
Erinn Lobdell,Tocantins,"Waukesha, WI",1,1,26,3,F,6,5,38,0,0,0,0,,,,,,,,,,,
Gary Hogeboom,Guatemala,"Grand Haven, MI",1,0,46,7,M,6,8,30,1,1,0,0,,,,,,,,,,,
"Gary ""Papa Smurf"" Stritesky",Fiji,"Ramsey, MN",1,0,55,16,M,5,10,,0,0,0,0,,,,,,,,,,,
Gillian Larson,Gabon,"Temecula, CA",1,1,61,17,F,0,8,6,0,0,0,0,,,,,,,,,,,
